DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE91,2021,19.2,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE91,2022,17.5,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE91,2023,14.8,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE92,2021,16.7,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE92,2022,17.4,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE92,2023,15.2,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE93,2021,16.4,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE93,2022,13.8,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE93,2023,13.5,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE94,2021,20.5,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE94,2022,18.2,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DE94,2023,15.3,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA1,2021,18.4,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA1,2022,19.9,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA1,2023,18.3,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA2,2021,14.2,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA2,2022,14.5,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA2,2023,14.2,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA3,2021,19.4,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA3,2022,16.6,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA3,2023,18.5,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA4,2021,21.4,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA4,2022,13.6,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA4,2023,15.8,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA5,2021,16.1,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA5,2022,19.8,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEA5,2023,16.7,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEB1,2021,15.8,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEB1,2022,16.8,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEB1,2023,13.0,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEB2,2021,10.1,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEB2,2022,8.8,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEB2,2023,9.2,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEB3,2021,18.2,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEB3,2022,11.5,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEB3,2023,12.6,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEC0,2021,18.6,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEC0,2022,16.1,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEC0,2023,14.3,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DED2,2021,13.1,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DED2,2022,13.4,
