age,site,used,n
Refused,Hinge,"No, I have not used this",1.9325367621471734
Refused,Match,"Yes, I have used this",1.2407464054459427
Refused,Match,"No, I have not used this",1.078115866760895
Refused,OkCupid,"Yes, I have used this",0.7316529118732827
Refused,OkCupid,"No, I have not used this",1.5872093603335549
Refused,Other,"Yes, I have used this",0.8780684726349015
Refused,Other,"No, I have not used this",1.440793799571936
Refused,Tinder,"Yes, I have used this",0.561380061857399
Refused,Tinder,"No, I have not used this",1.7574822103494385
Refused,eharmony,"Yes, I have used this",1.5861094637807758
Refused,eharmony,"No, I have not used this",0.7327528084260617
